date,model,GTAA,DM,PAA,DAA,Sentiment,risk,n_weight,dji
2019-03-06,11593535.671871873,11204210.765152348,12298064.580194162,11436384.744450048,11440796.10482184,11549907.1586672,11588469.525837677,11592372.876319366,1118159.9504170625
2019-03-07,11496658.127363777,11068780.000833912,12196600.901109155,11334013.829438355,11351396.641565075,11471134.665802097,11515444.830811579,11495263.699475432,1104704.191935219
2019-03-08,11496308.591473624,11047037.790124299,12108465.656413035,11325370.814732159,11342245.905140253,11519570.747389756,11586616.183583561,11494661.865393057,1102945.0078613274
2019-03-11,11735732.172891598,11295501.590380821,12360981.044149272,11526077.894501526,11634180.3291661,11771623.639049603,11774018.440984072,11733746.274934713,1126264.1568758942
2019-03-12,11808825.085041963,11387190.257054819,12462816.666733492,11611827.970931737,11673272.709621228,11828213.148911007,11839867.070551232,11807120.970409911,1132121.8091999562
2019-03-13,11907537.450594636,11422361.663331455,12538245.325867038,11744081.137610003,11875695.833019966,11881065.616390286,11930978.73438737,11905587.215041695,1140878.503533644
2019-03-14,11885539.784060208,11398008.5474837,12511045.92732948,11699892.125751019,11881165.594104817,11845105.456692496,11923863.120608285,11883421.623115987,1138682.2293468781
2019-03-15,11935054.661845604,11603363.971463135,12541315.430144658,11679317.552539986,11819860.676370323,11921509.004606662,11987250.331762409,11933368.23014785,1148740.6753725437
2019-03-18,11990012.807814226,11601561.552666752,12624113.841299644,11722381.117330773,11924951.77980347,12005987.549117094,12004349.064458229,11987863.969563708,1151773.2087250373
2019-03-19,12020908.636856874,11790381.029720528,12716639.01392161,11771215.248436736,11879980.544946963,11949894.671908043,11964452.596694613,12019863.594592262,1155389.066237652
2019-03-20,11999665.822980467,11754981.286160916,12710476.970704932,11824887.982239934,11952759.211067168,11861651.348091459,11841618.536710756,11998853.135048028,1160336.5363579295
2019-03-21,12173102.833755916,12044065.757987149,12977387.428957973,11661424.918843364,12149588.833292607,12122927.348536834,12025707.00583374,12170743.531193703,1178025.9432249574
2019-03-22,11849703.447214069,11750936.717618106,12558509.648838334,11421275.078923224,11860425.854426203,11816200.171624381,11630190.189409817,11847684.733286172,1151738.6652493095
2019-03-25,11814555.924829287,11694064.841984263,12542967.36288252,11483351.754299207,11847709.079697208,11753788.239418989,11508841.027670765,11812966.177216133,1150308.0280112277
2019-03-26,11841975.270259714,11736526.394659994,12491689.953547448,11610420.770826794,11858276.160264552,11810842.211226901,11484352.382693164,11840882.65819079,1155683.0695977344
2019-03-27,11722957.7625486,11650442.221404217,12361707.02253977,11501464.94032417,11733485.185861597,11666058.447810372,11364943.76404064,11722105.15891632,1148929.2827500168
2019-03-28,11803968.901974484,11658855.231405314,12612351.209818564,11558345.096077176,11844847.753613846,11683728.092356237,11417337.036015863,11802889.100300055,1150859.8792267973
2019-03-29,11891760.491185473,11643453.740463661,12709462.634591537,11687914.074832238,11934724.203606723,11783369.658427188,11529568.186126381,11890518.46619343,1160025.2612599833
2019-04-01,12054249.09568992,11839919.587864064,12821031.34267566,11811467.192702904,12108574.190843923,11945790.02001032,11729914.352771917,12052870.336871117,1175691.3416087218
2019-04-02,12084807.738386642,11891787.590276467,12897559.805523269,11794503.140677689,12096145.42207501,12005696.344746359,11756771.815494167,12083331.614052834,1179027.3969679426
2019-04-03,12231019.185071161,12033979.772471739,13117941.694612978,11820960.36261075,12279280.331537848,12125950.898330472,11942533.432113817,12228905.569895228,1186153.7927738426
2019-04-04,12185625.3615395,12026916.161806872,12946653.735934692,11750664.651882024,12198579.6549782,12138288.798518213,11975609.36012724,12183418.891818061,1185462.0020999361
2019-04-05,12249024.193239747,12046813.320011482,13006707.989526754,11820991.247741008,12260740.315228209,12234869.917841291,12044747.685469497,12246625.708914956,1191478.4776490664
2019-04-08,12270138.455439,12066915.594638718,13051971.358685486,11861232.981691701,12295319.655068168,12259501.090322115,12009841.943314211,12267799.74584266,1194764.2530602834
2019-04-09,12185231.445263496,11969544.063518338,12974072.949738149,11866760.401112795,12179352.713839183,12191731.63916817,11858376.061773164,12183365.061530385,1189851.4031790132
2019-04-10,12287029.497701555,12056116.556201356,13149363.778235976,12003002.596771248,12275164.757760083,12274318.677101715,11899392.70840034,12285386.583418757,1196611.4846156407
2019-04-11,12252606.111681683,12031205.042788876,13136932.954835517,11952952.467403205,12200761.676444909,12213012.396397457,11917178.260574734,12251103.900019443,1194001.7634060543
2019-04-12,12319896.78250154,12108998.159954377,13221231.42172907,11967322.526328037,12286546.047553828,12267553.001614502,12003506.931157479,12318144.978219694,1199230.5709453137
2019-04-15,12309160.870872824,12121476.575502563,13211280.572919283,12007103.32513062,12284094.568827884,12244006.19481844,11926173.270917365,12307757.275495958,1199383.0995814712
2019-04-16,12350661.426459005,12178437.211436495,13185145.14335759,11923269.165117443,12245607.553242322,12237631.822372563,12259243.815720426,12348977.408135712,1203409.2568224517
2019-04-17,12311628.060156688,12207296.45878107,13030660.065120278,11790637.401941286,12221785.405975103,12174788.70853556,12357917.653895093,12309656.61323669,1207495.2126580805
2019-04-18,12303557.28785412,12227169.70256702,12983460.664771182,11763196.737803254,12178997.086006613,12186532.794211214,12391356.460664084,12301615.806591643,1208910.1134238865
2019-04-22,12305086.377786634,12270686.548338689,13036572.25782884,11699198.121516315,12195408.846517295,12131872.104616318,12409917.910260942,12303069.37446092,1212647.0266281068
2019-04-23,12474788.82496753,12360494.154405124,13282285.8575059,11886070.81887623,12408523.769929156,12242097.439680805,12585883.789731925,12472640.265110692,1227931.0561352975
2019-04-24,12524985.52152556,12339374.261540543,13345192.960148301,11835276.861664604,12436512.778575853,12382355.00065788,12721536.537823977,12521922.733127883,1223796.4323805321
2019-04-25,12484296.195315113,12365476.326575857,13278345.707277454,11839931.77053545,12369885.960444745,12355316.844382493,12609347.123615313,12481726.932184923,1228907.331522641
2019-04-26,12551629.301297864,12387498.079278307,13426697.63933057,11910893.189670173,12414893.819077142,12391490.73543993,12695657.775986137,12549098.749361746,1230441.7527144647
2019-04-29,12524561.432409393,12402164.856596868,13388767.642750952,11923829.872001985,12377014.19688029,12332065.55580579,12625566.934146017,12522479.66345046,1232384.8616057865
2019-04-30,12525598.003350824,12154731.5192658,13362337.29034744,11966895.7107907,12419692.744105536,12411308.101099227,12733726.741717028,12522557.960658867,1223332.6286464285
2019-05-01,12508039.142534876,12084091.284751492,13557387.015536526,11791425.07119058,12604887.213927252,12317815.409362813,12600298.70576365,12503641.295983132,1218677.6266206456
2019-05-02,12556106.090884859,12095509.717983259,13686070.210157512,11758492.926973687,12752191.645357143,12303087.365383284,12654079.832739929,12551037.677941332,1214308.7213371673
2019-05-03,12801618.126402723,12295487.977071906,14058661.605204485,12099884.598828325,12965206.731231585,12460263.292739414,12848545.699382106,12797262.525194973,1233436.5952967752
2019-05-06,12685491.604506629,12195111.382427612,13962115.520589193,12027509.411660733,12802226.232068745,12292938.538719164,12756617.868875083,12681686.449861992,1225318.1876312555
2019-05-07,12441715.318074128,11941467.347891206,13705452.212106688,11769373.302314201,12595792.869263131,12041469.76413693,12522371.50518886,12437695.8547807,1201117.1052997215
2019-05-08,12399464.486439982,11903274.9135677,13667683.21330356,11752981.619348066,12544099.881304476,11957177.590630421,12499234.804901874,12395723.359240765,1197564.116912931
2019-05-09,12341955.28850977,11786385.65059044,13601518.73073938,11784619.562736737,12436905.990503225,11912274.675064081,12456826.31976002,12338594.212309454,1192093.19799046
2019-05-10,12468536.522548765,11840818.889139026,13848906.563154956,11971724.75545897,12586835.368678499,11923541.12233421,12573112.457034064,12465499.772875566,1192687.4225362556
2019-05-13,12051198.380510764,11402848.431069372,13408874.170466963,11596401.948068658,12063894.70356421,11507547.77401953,12269009.139974449,12048601.591372324,1151435.2200058617
2019-05-14,12251584.18690674,11522727.294629415,13729834.863844654,11772942.863195613,12364338.078483233,11650635.741751676,12413661.005640853,12248473.972785488,1163658.390510462
2019-05-15,12402921.223404367,11729242.265121654,13903746.515855527,11900850.188364888,12554410.978808086,11778924.98184639,12494014.264342194,12399831.299048673,1179594.9078925087
2019-05-16,12524826.250126835,11852369.54789895,14077378.635343708,12113839.534841314,12615532.805860398,11900191.897827296,12534045.592795303,12522431.333193995,1191682.8982620947
2019-05-17,12385436.057204746,11723435.250785183,13918973.003722547,11989700.206596198,12407877.737036204,11774013.158965837,12445669.796081582,12383317.6770214,1179662.5363416555
2019-05-20,12147650.654095365,11455273.090784,13698537.250830306,11852638.506403368,11996779.336174235,11592987.790420754,12242832.200012622,12146343.009754738,1159699.8617186286
2019-05-21,12299142.396580411,11594333.117807407,13905353.155562978,11958763.987055402,12242238.413053846,11715157.670820594,12331993.145203184,12297368.19450578,1171383.7701854801
2019-05-22,12212799.53574815,11438921.468589889,13964026.912604807,11990639.901440086,12137202.030930797,11616391.433627507,12089821.054741047,12211557.788783126,1166610.8597625466
2019-05-23,12020678.269381719,11246046.186122391,13652094.465681355,11847209.849157335,11977405.58645986,11386517.4600503,11969425.330670567,12019630.825308021,1148888.4446853788
2019-05-24,12035058.124697391,11214173.003459442,13901995.917507915,11854318.342958454,11965436.821386086,11343868.14612981,11902250.880645074,12034120.447088568,1147792.6488720174
2019-05-28,12073482.9297575,11255216.917865388,14092551.573338708,11841401.730606614,12081909.982484268,11358538.016279997,11791424.972668713,12072216.748019625,1144242.807779682
2019-05-29,11916833.16190862,11145538.452643374,13797369.910107728,11675236.588745998,11840860.968273988,11299402.530851599,11699953.605799148,11915621.70677046,1134571.171918887
2019-05-30,11970697.094023675,11215300.091404125,13853454.441340474,11751561.164755173,11891789.872085324,11240269.932650005,11835119.305332074,11969956.626379345,1139057.9855995157
2019-05-31,11842084.52650945,11042068.714076163,13669832.808503622,11636405.083520379,11776227.172292424,11053437.045701517,11839691.861362701,11841341.136046832,1120595.1119293054
2019-06-03,11769338.428614525,10951963.684221677,13530373.711259048,11470531.982389782,11688760.472329909,11067209.729578253,11857618.89463094,11767855.65579711,1097022.8743825739
2019-06-04,12042951.0224635,11330139.303479757,13845174.707015825,11717088.902318945,11898478.73465043,11363327.635718605,12045544.02989096,12041852.040349675,1126693.3403709908
2019-06-05,12172187.478631422,11424756.527792502,13960934.214153426,11869657.632879619,12110719.437935712,11427457.369520891,12180725.501644371,12171004.182611719,1135206.3112926001
2019-06-06,12317305.2945042,11621963.052566445,14086898.261876842,11985425.311883962,12293400.878836047,11551394.677606534,12296409.050445706,12316097.223589743,1143857.6864069581
2019-06-07,12518908.68773706,11800130.379083356,14405733.657350088,12232450.405992432,12514424.511392768,11667478.385956837,12443126.250810964,12518061.196817996,1166081.0396081633
2019-06-10,12641313.976530876,11968998.997431178,14715244.650514351,12293063.463222995,12610870.510380585,11749544.212165253,12483058.609673595,12640579.091910675,1179387.4167483044
2019-06-11,12624096.380967008,11967766.334917994,14742083.681883682,12211543.564303357,12517146.663862232,11801510.76253332,12478528.460097292,12623157.826956397,1181261.3619248916
2019-06-12,12657166.077068657,11824249.185179073,14866913.126001684,12283691.512584833,12594496.033768382,11797706.790195057,12572368.143687913,12655802.374319823,1174727.6553991989
2019-06-13,12702119.835785637,11833242.308911612,14907711.589009557,12308971.4266819,12652321.735051863,11853711.135250283,12651161.545020225,12700462.150972193,1180763.0147150601
2019-06-14,12605044.01625255,11673191.100979539,14776500.78502169,12200516.648095673,12559441.730458362,11768943.80539147,12645550.761816563,12603046.343105279,1175799.8081225068
2019-06-17,12598104.688188188,11612950.233063722,14897791.932134496,12233702.68066937,12592493.24518062,11707666.799349861,12563264.092846988,12596196.504543008,1183253.2154986288
2019-06-18,12817276.647228029,11891678.593700742,15264276.361224765,12373005.447544564,12819487.439163152,11942911.023564117,12640463.938274674,12815176.728079395,1200370.3521177685
2019-06-19,12921991.234791234,11910636.92883006,15417023.319166606,12568423.5420919,12907442.56899585,12021123.197982663,12746954.39504171,12920182.927065345,1205454.6144019275
2019-06-20,12994195.158821352,12024132.109500239,15473802.521238245,12708406.267449683,12896133.491005868,12054724.336726751,12846729.805953138,12993213.163065068,1216508.066055109
2019-06-21,12859944.965872698,11934885.845127229,15169103.430063765,12634632.364824641,12724019.584644279,11907747.25418576,12808404.068759134,12859498.395290097,1215050.7151957978
2019-06-24,12797951.600303743,11954901.350912238,15034629.7852432,12557027.662284916,12641628.67341577,11823972.256831305,12783969.17941826,12797802.081860822,1214145.2155520562
2019-06-25,12581518.21434123,11716268.056810219,14711633.089199957,12414502.117191557,12385521.359674321,11569143.190252583,12678783.587461526,12581815.201424122,1193475.0905461262
2019-06-26,12646674.904459067,11846309.837826181,14703905.840898385,12345965.68336363,12424237.99594931,11806799.05631445,12705259.542673958,12646138.323734652,1199057.6232768372
2019-06-27,12770460.45583075,11929669.83546374,14902950.650577836,12429130.29330573,12601036.072368408,11985384.594114028,12728294.251702374,12769308.133267196,1203773.9591628565
2019-06-28,12830122.524433097,11938389.663437024,14979704.035459291,12410128.473353539,12766900.415393924,12067309.094646819,12768391.121046752,12828014.71558131,1205979.675232988
2019-07-01,13013644.773356557,12134828.823230306,15227344.56502261,12599069.576467218,12946122.498561295,12233056.315845443,12895650.13330661,13011704.807085956,1221238.6031478164
2019-07-02,13035740.506039279,12150545.013625918,15368149.581351237,12652347.306842137,12926339.228472961,12190689.251334548,12906029.98961405,13034278.12340331,1226219.0047149542
2019-07-03,13132458.726591758,12162441.518518357,15580611.929624552,12781604.023272736,13063018.200864052,12249100.889463244,12958536.094448006,13130881.588143397,1235316.8350622728
2019-07-05,13151807.735998362,12147019.027023863,15644268.777315758,12741904.081352506,13127677.193095066,12307775.647265965,12944490.075401306,13149585.158666914,1232740.1220628258
2019-07-08,13129571.299970184,12052601.161039524,15695804.054533781,12635036.773924943,13085312.19802354,12364684.315318106,12953540.681126293,13126536.67534372,1224013.365408102
2019-07-09,13253004.43435375,12163235.948722068,15811904.198626176,12712797.122768322,13208297.204633864,12569939.051451588,13047670.294361904,13249482.26083368,1230470.001601282
